,RMSE,PSRN,SSIM,UQI,ERGAS,VIFP,RASE,SCC,SAM,MSSSIM
0,0.38610940530663823,8.265792383834814,"(0.48691776483489385, 0.8249753424533518)",0.5798989474799737,30145.27818187433,3.73461689797203,4352.480752508003,0.648963838631014,0.5491366631670253,(0.755582860509905+0j)
1,0.5328090502345884,5.468568137957801,"(0.041720990524619715, 0.7874714070947646)",0.4401278073213253,56854.966745926504,3.37430856238437,8246.501457241096,0.57780065713755,1.1604344828074298,(0.4795601529951517+0.21345376490305665j)
2,0.34968218348749774,9.126529893716798,"(0.5326107601036153, 0.7902233849510268)",0.7395697674786987,28640.474549413844,3.550272163872498,4134.511685902188,0.6278741416658931,0.47739783802688557,(0.7815470612074785+0j)
3,0.41903398555961074,7.555015047001248,"(0.36903385213187967, 0.8018480246439257)",0.5633983109841468,38834.48772126115,3.473964348033024,5619.16992357909,0.6752929666372834,0.7033169524562622,(0.6547967172981204+0j)
4,0.3438992687203431,9.271374953525267,"(0.5706842035810683, 0.778123128580642)",0.6871573491674985,25356.211877645645,3.385740051358763,3663.724086412717,0.5192082168221493,0.4322040597187538,(0.7644385073674511+0j)
5,0.4436025535105424,7.0601192517043385,"(0.28418508002628723, 0.7796515257184531)",0.4082741421527402,38137.12011042283,3.130367478523903,5507.510960868372,0.45106763879262624,0.8107165745393142,(0.6989590263840137+0j)
6,0.4849146731489311,6.2866934853034975,"(0.271152400579118, 0.8931592739737583)",0.2842783275082638,52726.58469784807,3.771466718100801,7611.121207487894,0.21834648961955205,1.0741879414683173,(0.6931271233937352+0j)
7,0.2888491591868414,10.786577846235105,"(0.672067615354805, 0.8360382555565101)",0.8479309340807295,17155.49502662714,3.5009097878521573,2478.330699059142,0.5490166811672053,0.3525049657873433,(0.8069192717807704+0j)
8,0.502881602841691,5.9706850418261,"(0.023128479286802384, 0.7949989293130684)",0.2037491542367252,45956.09738588752,3.2984325523233817,6634.500367421432,0.5191553246492958,1.351358372778793,(0.48302079190996966+0.21499410640291722j)
9,0.24976728879071144,12.049288807462332,"(0.7559879277574398, 0.8870971793772248)",0.8804429772670413,17601.575947274345,3.60930730455364,2545.738185684576,0.20324715523450942,0.2845211203595084,(0.8497203141825456+0j)
10,0.36086519107119,8.853100156248797,"(0.5139213040633379, 0.8057607873947988)",0.7354077752798119,31892.194529803102,3.5219214407647876,4605.703809086159,0.5734561525096532,0.5066824646414799,(0.7792315818904351+0j)
