,RMSE,PSRN,SSIM,UQI,ERGAS,VIFP,RASE,SCC,SAM,MSSSIM
0,0.023086111047786167,32.73298439296376,"(0.9448768229843673, 0.9449406068746863)",0.9986815298898556,1570.681852529057,0.8795427447491139,226.67216289037444,0.6078222295294062,0.035560704150494844,(0.9828042481533227+0j)
1,0.05200713677361699,25.6787411085632,"(0.8915548085444464, 0.8920773784891728)",0.9917569702069304,4588.790760937329,0.7898444662514311,661.0305178014058,0.45651858586423383,0.09486852423314175,(0.9602493611231093+0j)
2,0.04324779411172508,27.280720783422407,"(0.8928057002456485, 0.8929246332397004)",0.9967529825544684,2976.681381831666,0.8489135204834289,429.45023677941646,0.5190002774249166,0.05816267503628387,(0.9677078113052485+0j)
3,0.04724282971202241,26.513281945340097,"(0.9190705719253883, 0.9193437016846845)",0.9923080878247198,3736.835965681295,0.7990152234778787,539.314147064045,0.6116279356366409,0.07227363133268747,(0.969577789685184+0j)
4,0.03851415041474817,28.287593556344447,"(0.8357428800218321, 0.8358785058495538)",0.997453729871688,2570.774552292437,0.8155084857037069,371.3982416592826,0.4055351717483922,0.05468102965467325,(0.9521045553541252+0j)
5,0.03979987049018627,28.00236682259105,"(0.8436471354836508, 0.8437995762703839)",0.9965404536466399,2998.6935137312807,0.6283354517816265,432.59983767400934,0.33782362236646907,0.06740474078432145,(0.9444384557640914+0j)
6,0.015505880544290807,36.19007132227305,"(0.9783762344348309, 0.9784565673656592)",0.9985372970313828,1247.4886248734065,0.9314798063983059,179.98954475033426,0.2377108749801983,0.02804184920995703,(0.9938938412222337+0j)
7,0.04240762028716755,27.451121947716224,"(0.9430154286353422, 0.9430817090472514)",0.9980581276715018,1589.673708868217,0.865145199648369,229.43114071314727,0.5370404846017086,0.0524858267065208,(0.9817572806553075+0j)
8,0.02363681746036827,32.528219974128326,"(0.8815601203510965, 0.8816357132911482)",0.9985203323666617,2097.0405046792243,0.7512755669640327,302.69816529940414,0.43605715427498876,0.04613940997222315,(0.9622753686092421+0j)
9,0.024805973386592278,32.108874531490336,"(0.9647762228119793, 0.9649367169471)",0.9981915282100168,1313.6479436715524,0.9333479833326906,188.5304877743156,0.20588537653776587,0.027897372886495627,(0.9921291117042199+0j)
10,0.0357020079761504,28.946147146418234,"(0.8732367628576636, 0.8733386591018855)",0.9973969522369678,2369.067791704147,0.8767840166686763,341.57317303776495,0.49260119915231604,0.049880637947590976,(0.9686029856254241+0j)
11,0.033235889298829355,29.56785392473392,"(0.8916721186315509, 0.8922233152423864)",0.9922236904258596,4357.715632426028,0.6936288304634733,612.0571636670173,0.47331149026220065,0.10637445316112719,(0.9625723968496451+0j)
12,0.022786313066845344,32.846518800700764,"(0.9776764851880467, 0.9777980461889916)",0.9983423384672324,1399.3921319636663,0.946550467998381,201.95738394586758,0.3701298448377082,0.03252871600356773,(0.9937456169424348+0j)
13,0.024193625568210884,32.325980899581225,"(0.8730436990357239, 0.8730759953493186)",0.9991919261843556,1439.9266000151406,0.7517019948961533,207.83290089521395,0.4204663657373772,0.034575196105499174,(0.9656626805311072+0j)
14,0.03524988039537835,29.056847045063176,"(0.9590050775348242, 0.9591630750069852)",0.9957595841847952,2075.541711508342,0.8882731007341231,298.82008916310735,0.2422563039134402,0.04179253561527322,(0.9882843656570388+0j)
15,0.05457102731574492,25.260757408354067,"(0.8180355937324489, 0.8186125399282753)",0.9841240521990353,6257.767529309183,0.6066637960149169,903.9650722294762,0.33443797740778597,0.1326295850689182,(0.9452759158578501+0j)
16,0.04015797317043336,27.924564295303412,"(0.876673236893707, 0.876742191183557)",0.9983178196980105,2044.5703834284946,0.8667813843758575,295.10600286397164,0.46520159632592395,0.04917499000190517,(0.9602909978575654+0j)
17,0.030218059251636235,30.394668631422796,"(0.9371008311657908, 0.9377744427007513)",0.9934220193639138,3599.614651693329,0.849247943155134,503.8219540644579,0.2340761852030057,0.09452864575341362,(0.9809856902280674+0j)
18,0.03525529297972215,29.055513437666477,"(0.889819557400401, 0.8899523211261492)",0.9968758734252431,2704.6827612463408,0.8009687593885145,391.0598925101765,0.4720580222751755,0.05801667864154022,(0.9641844498641485+0j)
19,0.03298236132805158,29.634365096915616,"(0.8754539929778726, 0.8763033348202729)",0.993423916232028,3153.4194393465978,0.6974847427394396,448.99018502111704,0.28035695376068276,0.07528761458606766,(0.9597601301248846+0j)
20,0.04937732460785819,26.129448899471424,"(0.8217389947909939, 0.8219522888339243)",0.9944540161644451,3945.054306675125,0.7174588050961669,565.5763231610912,0.38390754841556823,0.0892303742204587,(0.9459727716928024+0j)
